POU1HjdXziM,Gurdeep Parhar
Diuv3XZQXyc,Peter Singer
XBaRdmEVy8s,The Scary Guy
ok54sSWquT4,Shannon Galpin
f4DV2BFUmSA,Daniel Cho
TexXAuRSe0g,Keith Politte
GcJxRqTs5nk,Frans de Waal
7Mqse6SLOds,Astro & Danielle Teller
OaGEMSRms48,Aditi Gupta
maMU4XZYdtQ,Steve Sandford
VLe84OkwKOA,Steven Wise
5J6jAC6XxAI,Tim Ferriss
3nsPcBJAdxI,Manisha Koirala
pkGAMb5sYvg,Howard Johns
HCG1petekXw,Piper Kerman
mwzBJF5Q7Vw,Professor Dan Ariely
5T9wSTaCrjA,Mark Heinlein & Myles Forman
eLrBw8BKOWI,Julian Baehr
fYUaWgVF2XA,Molly Stevens
6EghiYSs2ts,Claudia Christian
Z2Z3P8E0tos,Corinne Spielewoy
KRrNST9OAcA,Alyssa Monks
1yzoCFqKEhI,Vardan Urutyan Urutyan
2j00U6lUCSc,Daniel Susskind
gyM6rx69iqg,Tina Seelig
zSbCNWyYams,Dhvani Bhatia
R2kOgSVF2Uk,Noah Wilson-Rich
EHNP7KqLrW4,Frederick Balagadde
JcJ3MfJNm6g,Ami Klin
eQdFkSSgHYo,Michael Green
raCIUeGUr3s,Mick Cornett
eyq2Wo4eUDg,Dawn Maslar
qS7zAkwAOYg,Robert Waldinger
Hh09xlzxRmE,Ann Morgan
E0k4IQ8fDCY,eL Seed
xSUw0NiseBM,Ashley Wiles
iNDXvJjSniI,Cesar Harada
HyZV8Ql1PI0,Keith Peters
SI3v6KS2Zgs,Sanna Sarromaa
FDhlOovaGrI,Uri Hasson
nncYSMA1Iu8,Arianna Huffington
0S3YDofSvGs,Mia Holland
v67c9gr4XnE,Beerend Hierck
sYOS4qOHxdg,Carrie Poppy
GIbz9ms9Z9k,Ivan Oransky
mbbMLOZjUYI,Ruby Wax
PWhjzFwn9Js,Miranda van den Heuvel
XgRlrBlS7Yg,Daniel Kahneman
7OMLSs8t1ng,Michael Specter
Wiqhu3Q5NpE,Stephen Mansfield
b9fqIoZoQJE,Sarah Harmer
blfVA0aSCBc,Lauren Ornelas
7nZqiPLCvM4,Vincent Moon & Nana Vasconcelos
Zctk6MZaxMk,Andrew Hessel
uHRG3Vr9qyI,Narelle Pearse
WvvuLDX7iIk,Helen Fisher
oIGBBPspTKM,Noy Thrupkaew
Wai4ub90stQ,Jeff Speck
t9c7aheZxls,Stephen Petranek
MUOSpWJ0riQ,Dave Morris
VHECIP6Tz0M,Mizuki Oka
IvtZBUSplr4,Kristin Neff
XNbaR54Gpj4,Dan Gilbert
lN4NbxTUZPU,Emma Fick
zR8ReJoc1u4,Hossein Derakhshan
8S6S5vZGSSk,Robert Trestman
PB2OegI6wvI,Elizabeth Loftus
WoS7PGFjwDQ,Vladimir Bulovic
a17Z5Sk2XJY,Mindy Scheier
BXlnrFpCu0c,Sue Klebold
50m48lpi4AU,Rick Miller
zIXX3HPgEnI,Julia Collinsl
xfDUGqGPSfo,Melissa Anderson Sweazy
L51h8BBu7b8,Lena Kay
V1K3GvSKyJQ,Richard VanderVeen
8lEUvISNgEE,Zane Culkstena
ce31WjiVcY0,Ben Ambridge
yqc9zX04DXs,David Christian
RlToQQfSlLA,Rupi Kaur
exjlR7izakg,Chongtul Rinpoche
wc3VhvgUtB8,Anne BÃ¶ckler-Raettig
k0T6rfpYoqA,Emil Johansson
gLgNjywpKsY,Claire Harvey Craig
ay8OMOsf6AQ,Benoit Mandelbrot
Ep2MAx95m20,Michele Weiner-Davis
nLB8ASSQdHc,Lana Mazahreh
Wj7hmzfX5eQ,Emily Fogle
hVsnkRoYfX0,Gregory Stock
FauPVZxDXxk,Kristen Marhaver
eOZcStGmTZ0,Elena Corchero
lSiQSNSwgMM,Sarah-Jane Murray
7DESF3jSPVo,Charnita Arora
zaufonUBjoQ,Hailey Bartholomew
jguSkEMwrcc,Nick Veasey
MB7seqSbMvw,Sareen Akarjalian
ljqra3BcqWM,Jocko Willink
YA87VEeoZLI,Henry Lin
G2XBIkHW954,Patricia Kuhl
ZWfCi9WxK1E,Emtithal Mahmoud
4mJ1aHFPS1M,Faith Gonsalves
QW8muMXpkRg,Lara Stein
N3e8ZG5GzaY,Rudolf Budginas
m1LeGwELv9o,Praya Nataya Lundberg
VekRvcbL4yk,Elizabeth Nyamayaro
mKe3QKctaS8,Peter Tyack
tHYtv5FLC6I,Jord den Hollander
y1yK36RMyRE,Teresa Njoroge
h7qKzqQnjXw,Rafaela Hillerbrand
SZSc5UCSZS0,Sam W. JohnsonSr.
TQMbvJNRpLE,Stephen Duneier
Dk37LhxjPEY,Don Norman
VFaQtPw3Va4,Olivia Lowry
w2itwFJCgFQ,Raffaello D'Andrea
eFwaRDqTUL8,Chase Reid
8qqLMFBGvWI,Bede Carmody
S1JErHOwZCE,Lilia Fromm
R1vskiVDwl4,Celeste Headlee
WyOSqjIABe0,OK Go
YhW9I8SUkFU,David Birch
r3L9n20myqk,Rob Hopkins
ZQBSh9k74aY,Erin McConnell
mT4Qbp89nIQ,David Katz
dcwuBo4PvE0,Alexander Betts
w4RLfVxTGH4,Julia Galef
415VX3QX4cU,Marcus du Sautoy
36m1oStM05g,Sam Berns
IwWuLSwSMvI,Roxane White
F8pUtbSgrxc,Helen Chapman
Bp2FvktSTRM,Naja Ferjan Ramirez
Peu7eeGtmQ4,Simon Lewis
q4TJEASZRys,James Doty
r540VOIVufc,Ben Hempstead
eg66CMRpKCw,IN-Q
bYGLzDB4GJo,Harry Gandhi
DBoShCrKfLQ,Dinah Lenney
3Bk6G2X5Vjk,Ella Musher-Eizenman
C2SVEM19NHA,Eilam Gross
X2et2KO8gcY,Kwame Anthony Appiah
9yEl0SbCA9M,Andreas Raptopoulos
qQIwTWJSd2I,Timothy Bartik
WzuWMf3WPPc,Lt. Richard Goerling
HsSvPqfsO0Q,Emma Lawton
fu4PRmu2EXo,Laura Possessky
gLDQr9i7LkM,Mikhail (Doctor Mike) Varshavski
w5T0wS1OdMo,Andrew McAfee
O9Hfqc3trhw,Colin Yeo
DsrxbqFo41k,Casey Gerald
6ORDQFh0Byw,Lesley Hazleton
PKbet4RdSo4,Stacey Kramer
Yz1sNBv7oAo,Sahara Beck
fTSXvLzNd0o,Steve Keil
fKyljukBE70,Alexander Tsiaras
KM4Xe6Dlp0Y,Cameron Russell
xtRIvS65M4k,Grace Khieu
aDoFKwWPhmQ,Don Alder
sJCBM9ajA5s,Alyson McGregor
lKpzH0SD1Dw,Mayumana
JSswZaKN2Ic,Carol S Dweck
stBSQ6CagVo,Nam-ho Park
A2aBKnr3Ep4,Federico Pistono
IzPcu0SETTU,E.O. Wilson
wjWSv0IPTSM,David Hanson
aCIukWXmlV4,Henry Evans & Chad Jenkins
rrkrvAUbU9Y,Dan Pink
PVXQUItNEDQ,Ray Kurzweil
3dqXHHCc5lA,Julia Rucklidge
3g968CCd3XQ,Sujan Shrestha
NA7krbsdXFA,David Rothkopf
ycB29FkoylE,Peggy Oki
QijH4UAqGD8,Luvvie Ajayi
HSmKRshF1SA,Troy Williams
J8xfuCcXZu8,Mike Vaughan
rCplocVemjo,Tim Berners-Lee
vvhiNSqq6oo,Taryn Simon
oiZ42KUsxGo,Gary Robson
HY71088saG4,Erin Marie Saltman
6hFxDLkWNPY,Joshna Maharaj
CMeRySbMXDU,Dara Brown
bIiXsBVTfHc,Peter Tatchell
y1KIVZw7Jxk,Laura Schulz
PQBin3EL67M,Chandra Story
OAK1UIbSFio,Sarah Jones
YWZmqpQi2y4,Nathaniel Kahn
mMYhgTgE6MU,Thomas Fleischmann
kSGFq12w5WU,Janine Benyus
qFza3W87eDg,Ross Fisher
V2u6CzpRqts,Robin Hammond
drXnDLHKKPM,Andrew Parker
YVzSVEJa5Gg,Lucinda McGroarty
KQEWc3LVfyc,Dr. Leslie Blackhall
hxJ8LELZCjo,Edna Adan Ismail
YnAVjkuQzSY,Brian Cox
S7rSSd1fiUc,Jae Rhim Lee
HiwJ0hNl1Fw,Wael Ghonim
yLjxoscCi0A,Rob Hoyt
Y6U728AZnV0,James O'Keefe
Z6T37m4r3yo,Ken Cook
GIRDD1n6Pqs,Kevin Kantor
icI94blMKIc,Matthew Marsolek
fSmQIWnO3Ag,Chieko Asakawa
npNYP2vzaPo,Abe Davis
PsihkFWDt3Y,Michael Norton
yqU0SsbENgE,Abbie McGregor
70uaS1e9YN0,Dr Jay Bradner
be03wdS5Klc,Larry Zhang
zawpbVpu5nY,Nabila Alibhai
NhYnouvrGS8,Colin Powell
CzgS9C7gw0o,Bailey Parnell
xYemnKEKx0c,Jon Ronson
CiJ6ybBSm10,Yossi Sassi
om6SewSRwtU,Xavier Pirla
WCGuG0uT6ks,Olafur Eliasson
UUkAGboDMwI,Kris Boesch
QUUFbS1hBtw,James Rhodes
voLcX6SpF9g,Saran Yen Panya
8lXYZ6s3Dfk,Louie Schwartzberg
WOxSQHtJWlo,David Nutt
j4LSwZ05laQ,Marily Oppezzo
yzm4gpAKrBk,Vikram Patel
JP0w9lZoLwU,David Merrill
vNpmq6OkSQQ,Manal al-Sharif
3GFG6Cvy9HQ,Adam Lerner
jLOfXsFlb18,Jeannette ArmstrongPhD
SfHRcaS6r3w,Matthew McVarish
OWq7ToR2U8Q,Jimmy Nelson
d6NKdnZvdoo,Chrystia Freeland
MDL85fzdc1g,Dan Millman
8gSAkUOElsg,Tim Morley
Yo5cKRmJaf0,Benjamin Bratton
jk6Y3f2c4SI,Tiffany Kagure Mugo & Siphumeze Khundayi
ux1GxExRUUY,Rainer Strack
Us70DN2XSfM,Clint Smith
lmyZMtPVodo,Simon Sinek
oA0ws8rwdSc,David Hu
NXvITqGAiX8,Andres Carlos Luco
S7SXH1CBzGw,Suzana Herculano-Houzel
8t4Vj6lmzVo,Adrian Johnson
N8Votwxx8a0,Michael Green
SZSvyLHi2us,Jessa Gamble
t0pwKzTRG5E,VS Ramachandran
WKlIytaSlu4,Ndidi Nwuneli
6VWPHKABRQA,Nick Gray
yA1O5gmP4eg,Erik Younger
druJDI6hiiY,David Camarillo
zGEDHMF4rLI,Margaret Wertheim
NwmGTM5Py8Y,Coleen Christie
0S7tbjvnH3s,Jason Calkins
SeBUcBfkVCo,Andrew Solomon
N1R84S5DYEA,Carmit Yadin
fzKxYlHmhmY,Erney Mattsson
1PV7HyS8fhA,Olympia LePoint
OJptdCCrcr4,Carolin Silbernagl
KPPxXeoIzRY,Wayne McGregor
eHlu6ViSwxo,Trish Campbell
iF4s75ZPano,Julian Burnside
ZBuT2wdYtpM,Rebecca Bellingham
ur03GAmIV8A,Jo & Toby Gorniak
8oHvknJfklE,Chetan Bhatt
x5LshSZn5RA,Terry Hughes
F1U26PLiXjM,Uri Alon
20adDr7Felw,Amar Inamdar
7oQY0uC52jY,Bastian Schaefer
SDSjySgNSTk,Karima Bennoune
zMWYQRKuc5M,Mandy Len Catron
SmQJYte4T2Q,Renny Gleeson
MOFdlEbu15g,Philip T. Metzger
BoRUrWcdkQ4,Rebecca Onie
S2SzP6NS9P0,Mary McConnell
BczB8oqYL0g,Walter Gjergja - Shi Xing Mi
iqEHuBST2qQ,Achenyo Idachaba
wvIOoxPxpfQ,Rachael Buzio
pX8zZdLw7cs,Mikael Colville-Andersen
urntcMUJR9M,Jim Hemerling
0SkdP36wiAU,Lorrie Faith Cranor
oEIYHTlbeLA,Prumsodun Ok
tRqJysISyiw,Laura Indolfi
S9gAgInOV8w,Mark Brake & Jon Chase
UqyOedEHIrw,Tim Dixon
Ztl2li6GTWg,Earnest Sanford
C74amJRp730,Tristan Harris
CLSSiaFuLo4,Serena Williams & Gayle King
wvCMZBA7RiA,Jolene Park
kFh3Q2eOZ1U,Vittorino Filippas
60P7717SXOQ,Stephen Wolfram
55n9pHSA0O8,Clair Canfield
d38LKbYfWrs,Rupal Patel
bybOi0nMmq0,Hadar Lazar
aTfwA1TaH3Q,Charity Wayua
wHH6C2BSC1E,Frank Magwegwe
DkocjGrWwvc,Nastassja Schmiedt & Lea Roth
vu7eInSBt4I,Furaha Henry-Jones
kKSUjBmHqQw,Elora Hardy
DERu2aAqqWM,Colleen Fitzgerald
m4GQk4ufRKs,Dana Mneimne
WTFi99e4RXU,Tania Luna
Ht2fzax9wV0,Peter van Manen
DcKdClnpz4k,Julia Roig
ZOlBqdkN2jY,Clara Kaul
Sttw2PxncIE,Efrat Furst & Mickey Choma
hgWie9dnssU,Jennifer Golbeck
jggHw5PdQV0,Siyanda Mohutsiwa
bClWV3eeETA,Dominic StÃ¼hler
zZJSgrzZNdY,Nishaant Pandita
VGpZ06RlVfI,Abir Abed
eNC1h5H5cJA,Aris Venetikidis
xb4nTtpvDF4,Evan Heritage & Julia Xiong
9TPFLHvn024,Lisa Kristine
iE7YRHxwoDs,Shimon Schocken
RlQEoJaLQRA,Don Norman
dwU8eavPInw,Rory Stewart
MBZyRlxVdSE,Robert Thurman
IhoRGJlSs8M,Ekaterina Walter
GMc8aSoCE30,Ronen Gafni
WIebxoTx408,Dr. Wendy Pogozelski
gIzNS7YM6fw,Anisa Nanduala
iGHzqmnGH4A,Kim Coupounas
dwbP9iBxkdA,Madison Levine
vcfrsYWFR78,Neelay Bhatt
p0aTfcXpOEs,Hanny van Arkel
81Ub0SMxZQo,Bill Gates
90AU6D8qEhc,Paul Debevec
9VXOknUbzBM,Keith Edwards
IdW9UYlxlVY,Alex Holmes
BR9dbjubfuU,Steph Davis
HfuZJVpNWR4,Kyle Terry
3QZp6smeSQA,Michael Pawlyn
d5zjjJYqixo,Loy Machedo
qty0NjF3pdQ,Caitlin Quattromani & Lauran Arledge
c2tOp7OxyQ8,Bryan Stevenson
fnS9f5x0f1Q,Temple Grandin
Gj2pWl1vjCY,Naomi McDougall-Jones
uSUOduS5MPc,Blaise AgÃ¼era y Arcas
q16f8km11Ms,Arifa Syeda
YkzwHuf6C2U,Trisha Prabhu
5UH7uTpTa44,Alastair Gray
6fJRmouSDL4,Anthony Hughes
ZSRaJIMYSMs,Jane Andraka
cXbXNV9SZAg,Adam Savage
rhvunJPNmPE,Mike Cavaroc
0N1oA9LUEc4,Alex Holmes
gtDS5rzd6R8,Kelly Medwick
ZQElzjCsl9o,Roger Antonsen
PzSw6OsEP9Q,Julia Hutchins
gdg4mUSwuhI,Danny Hillis
ZBrbHy7l3tg,Jonathan D. Trent
wfW3aZCFfLA,Jimmy Carter
jSOPQgPIdKg,John Searle
tSK6bn9sc50,Kate Stafford
aTgPJQ9Dy7Q,Nicoletta Demetriou
vNyZmSg92HI,Richard Morris
avuhY7D71sQ,Russ Altman
hFcQpNrSKA4,Stacey Schuerman
zbHe4RpgV80,JosÃ© AndrÃ©s
DSbtkLA3GrY,Akala
l1SdDWg7XBk,Clay Scott
b4kSKPELNcc,Mike Gil
QfODW06Qi8E,Matt Cail
TM4HiNOhkM0,Susan Clark
rXkOPv3wVZw,Edith Widder
nxRRqLpWi6Q,Judith Allen
KiPcxhJtuPQ,Tanya De Mello
nzZA9XTdSLM,Jamie Dublanko
h9deGh8StEc,Anindya Kundu
jdpIKXLLYYM,Nigel Marsh
eqsXcSaefKI,Louie Schwartzberg
7hFy02TSH4U,Srecko Horvat
jdMv5x8SBuM,David Orban
gpSnhBdsKE4,Martijn Burger
NMQGa6grfeE,Nathan Filer
Vqm8fXFFHyY,Dr. Leslie Carr
ygRNoieAnzI,Neil Harbisson
7E9a24Nw6Cg,The year in ideas
WT7VMrxTPPA,Lemon Andersen
jYperQKUkcs,Kevin Bate
xgsnrg8wfbQ,Omari Jackson
Maw4XgS6RAw,Patch Adams
IjbTiRbeNpM,Kevin Kelly
uRdQS2sjF2s,Gerald Chan
L9Sc1j9VRwE,Paul Conneally
2FMBSblpcrc,Joe Smith
SK095wuESeE,Naif Al-Mutawa
4f7ppXm1mK8,Jeevak Badve
z4fsN1DSEVk,Joel Sartore
pn8p3rOaA5I,Erik Vance
cQl6jUjFjp4,Luis von Ahn
MSX0uwAG2Jc,Vanessa Ruiz
x2sT9KoIISM,Yves Rossy
ktbbm7ktuAM,Dr. Ayelet Landau
cSohjlYQI2A,Julian Treasure
uo7w3g24DWo,Srdja Popovic
XoBSE2C1u0s,Jay Reid
HtSG55VEa2c,Wendy Hamilton
aILSY9g7Tg0,Rutger Bregman
Kn5JRgz3W0o,Margaret Heffernan
Ht6TTA8z3MI,Beverly & Dereck Joubert
y3jYVe1RGaU,Sugata Mitra
7n9IOH0NvyY,Michael Kimmel
9bbX13SfsBw,Thomas Peschak
S47ZRF02Cyo,Andreas EkstrÃ¸m
EQIt2JUFSsg,Kyle Thiermann
VeXCU8cjIlw,David Patrikarakos
sFGWSg7wSuk,Stav Shaffir
ScJVrV6bk1g,Miru Kim
ddrIKWVnyZ4,Jenna McCarthy
UvbFr0eSsg8,Niloofar Razi Howe
6rcvWcRMuzs,Miguel MostafÃ¡
rAZPIxYvBAE,Christopher Bell
NJ9Iq7ReMDs,Lola Flomen
ZJPdJuhI03U,Fredros Okumu
fmS0sTNcDIo,Sara Lewis
ng7sf2SpeFg,Clare Sutcliffe
NRXCxJGQ4KY,Renata Salecl
jgnqlZUI4n8,Noor Tagouri
r9Zz4hYuGdw,Leo Igwe
QS0p8ZpBq04,Gregor Wiltschko
Qzmt2wQMhYo,Raghava KK
SGzenQjZSpU,Vera Gorbunova
cotBM0laSSo,Kevin McGuigan
KTTtn0iSZyA,Margaret Neale
OfL5JmZnkI8,Kim Dvorchak
M5PiTCwoQRo,Liz Ogbu
6OaIdwUdSxE,Tyler DeWitt
Gmai4zkKNcM,Nicholas Stern
Qa2HpQI1Ufg,Lindsay Blackwell
CWCWq155hyc,Nathan Klingbeil
KvvjDOtS2sw,Becky Blanton
l5d8GW6GdR0,Jeni Cross
J9SXc9wxByM,MiklÃ³s Antal
pgmiPXAwiLg,Anjali Kumar
o0TbaHimigw,Jessie Woolley-Wilson
Sf994ANuGIY,Sile Singleton
j7c9b9A2AHc,Guido Palazzo
lyu7v7nWzfo,Anil Seth
hBOVuIIQUFc,Ben Uffindell
UB2iYzKeej8,Eric Berlow
7hWUhEA6hxk,David Shenk
5tUnSuoYKoE,Mustafa Akyol
xf8zep5BADs,Mark Forsyth
vY2l2xfDBcE,Geoffrey Canada
U1XJJxHIQwo,Sasha Leahovcenco
uP3pg3alCRw,Richard Berkeley
SeQ8vdtSXB4,Todd Neff
Lrdn4lazVBc,Sheila Kelley
7KtAbgvGEvY,Lluis Bassat
mGbMwP8MDjg,Victoria Pratt
vQUCSHUlNSk,Robert L West
u9Lu85L111Y,David Whyte
abMQhaMdQu0,Robert Kiyosaki
fZ8eyWBQmfU,Marco Tempest
P5Mpo4JQZhw,Aspen Baker
XBcPFhg0BC8,Allan Jones
QAnNM3WJCYA,April Carrillo
sGXeX7PPrCI,Brooke Miles
hQigUH0vZSE,Chuck Nice
fbAj9JfCXng,Jaap de Roode
O4bGOvkkHcM,Rebekah Matheny
yjtCDgjxRAw,Pierre Thiam
5OqqAKHfHv8,Emma Hartung
fmxNuVDJZEY,Nicholas Schiefer
PlQ3VdvvTvE,James Beacham
GsqiJqMFcvM,Ajay Kapur
Uieh3RfkCng,Peter Molyneux
pOWgXxoSTNM,Steve Fleischli
KIMWfSe7ZJI,Melvin Russell
1bXAkbCyjpo,Melissa Fleming
2t13Rq4oc7A,Astro Teller
KPN8LHVeFYA,Curtis Austin
3p3Svl9VFYU,Suzanne Lee
b2MSSeKey4o,Ken Jennings
mt4oSR9wzrs,Catherine Crump
VfAiNX7jn9A,Philippa Neave
td1PbsV6B80,Tony Porter
7JQbyvNjM74,Pascal Depuhl
audakxABYUc,Rory Sutherland
4wCQV4Le3S0,Rachel Zedeck
ZChEFOGSn8Q,Bruce Aylward
mp0SQQQgv7s,David Preston
mCZCokSu37w,Geena Rocero
1ZQmwVYNgPc,Pierce Dirkis
WmJwn4WDeLE,Sandra Kropa
nPGVm6OesQk,RafaÅ‚ Trzaskowski
wOiKRVH0nQ8,Jay Bradner
iWaZEXBbQL0,Danny Dorling
POTosC2q6Hs,Jon Gosier
xmlekZSSOWE,Chief Almir Surui & Rebecca Moore
RBfdvib2irc,Fionn Dobbin
pCd8KLukRV8,Aaron Feickert
qH66lTtW4Hg,Christian Ã˜rner
ouXGIw7gBmk,Ken Banks
u1SdYypojbE,Sophie Andrews
96HHmILhyrE,David Gruber
zSWppsceZ1c,Tate Linden
OwgWkUIm9Gc,Karen Thompson Walker
iYwAMccbhYs,Julia Bacha
Si644sBMaOY,DesirÃ©e Venn Frederic
SZSul0GzzM4,Ajit Narayanan
bNpx7gpSqbY,Bill Gross
y9wzaxSPtIo,Kate Stone
kEKzl6fub2w,Sally Kohn
BISCnsKyOuk,Timothy Ihrig
WoSHlZ54b6Y,AnnJannette Alejano-Steele
C3u2VasrA4M,Luis Almeida
SJ0G1iCLzCA,Elizabeth Acevedo
DShPct3oIow,Chris Bugaj
iWHq2mSHwhw,Ramanan Laxminarayan
HqekWfSJCSA,Petter Johansson
rBKV4rOgSJU,Willard Wigan
8Dv2Hdf5TRg,Helen Pearson
9MegHiL93B0,Megan Washington
SpSGKCr8rq8,Matthieu Ricard
V74AxCqOTvg,Derek Sivers
gevXeQwS1jg,George Fitchett
uOrZF8FdtLc,Joe DeMers
RBElFl1aLtI,Jessica Steele
n83zdD2Y8Zc,Tim Kubik
zqnZCSVsqPw,Richard PenÌƒa
on3KttMgbZE,Rodney Mountain
nMfbnl7mzwQ,Sara Bendrick
GkRn9Lp16UI,Adrian Furnham
XzDNfLnUOYY,Laurie Garrett
pxzUDc1Zs4E,Rachel Knoll & Rotem Stahl
NAkkckxE9i8,Meklit Hadero
OMhLrHPI0Tw,Benjamin Bogardus
SmsYxDvdcYc,Jamie Sarche
KPzccnstSXg,Adam Galinsky
S0hxl03JoA0,John Cacioppo
12ud0nSTvro,Helen Wiles
MpISFKqk0Ew,David Sedlak
aPjvEaE6VXs,John L.
7CIq4mtiamY,Kevin Briggs
HALd9FY5SVQ,Lewis Pugh
DoRSyk7lA5Q,Emma Purdy
qItCBNzqdn8,J.D. Daniel
LpNkuaVnlPY,Jasmine Armstrong
ShFk6FDrZBc,Evgeny Morozov
hfznpykprP0,Gus Casely-Hayford
H3YbZsStuSI,Sebastian Johnson
1OQkdRdfyjI,Shane Gero
qbeLy3Dkay4,Sumer Johal
evfgbVjb688,Rob Dunbar
AhKevstJyrc,â€‹Rob â€‹Greenfield
bJkv9b9o9lo,Jennifer Pluznick
jvHYhSeIDmA,Megan Tan
CS9f7Qq4YZc,Diane Knutson
QWN5xhV6v1U,Karen G. Mills
y66YKWzSsf0,Melissa Marshall
RSW3xi2jMYI,Zoe Weil
I4PU2JlhO80,Rick Guidotti
Y9DsAmzNkWk,Gregory Heyworth
RtRufOPFug0,Kristina Stojmenova
L8YJtvHGeUU,Graham Hill
lecXKKOFPuQ,Satoshi Akita
Y7QaqazOvSA,Krissy Moehl
FjvjSlpJoqo,Van Jones
hHOX3dlhhZ0,Victor Rios
ueOqYebVhtc,Colin Stokes
PcQwHHbjZ0A,Lars Johansson-KjellerÃ¸d
y5nbWUOc9tY,Julian Treasure
2BogtvaCWvI,David Weaver
DLccHLwdS6Q,Rebecca Sweetman
4BaJ8zS49v4,John Graham-Cumming
kySSXxxiWHg,Gilda Daniels
Zp0pEmSkXiM,Marie Schneegans
j06dz9eDgqY,Marie Johnson
DokhOtMp75A,Latif Nasser
US19wMaJIyc,Sara Abdalla Elfadil
7rVK0VYPWHk,Marijn Poels
ufp5iGh0agA,Wendy Steele
XxSSz2xiuyA,Rives
qP2W2k3L1Ow,Samuel Edwards
ALTvG9MIR64,Siddhartha Roy
uCC3dS7FrkQ,Karlis Celms
OzA6jRYjVQs,Sara Menker
O817Q8G5WL4,Brian Bell
oCBYfGXSAlA,C. Simone Rivers
GSIpG4t4Z5k,Abd Al-Rahman Traboulsi
M8CTOjQhJFo,Vivian Bertseka Lemmer
EwuunRJgoBw,Carmen Jones
qp0HIF3SfI4,Simon Sinek
NoXtBxluCvg,Jonathon Sun
DM1SDVSFhc4,Tom Uglow
naSNfaSbOjA,Lisa Nip
1xgCI05l2GA,Miles Russell
AfnruW7yERA,Mallence Bart-Williams
Gn2W3XSpGh4,JR
M4soSZ9aSu0,Marina AbramoviÄ‡
tTb3d5cjSFI,Jonathan Bricker
R84vqXjXWJc,Mwende FreeQuency Katwiwa
hVShA7g4Joc,Jennifer Nacif
F5FYYV59Eew,Bruce Walker
rfOMqehlSZA,Gregg Caruso
MNuOmTQdFjA,Stefan Sagmeister
iZRGUADAu2Q,Marcus Moench
c00zfzk4gdg,Melissa Fleming
LnQYJa9SaR0,Hannah Fry
MIRoB4LStDY,Pawel Nolbert
pkZtRzc9rFQ,Joe Sabia
lVQ3KUTHDe0,Leana Wen
uPE0G00XFV0,Neil Pasricha
Zf0zAiS8CtY,Jeremy Bloom
vhhgI4tSMwc,Meg Jay
sAINrzTddA0,Basma Hameed
MsLuQM5V3FA,Bill Ford
RYPF0VPjwH4,Liam Morrow
sFRrYQMgSOw,Dilip BK Sunar
1BaBMyMVvnw,Ben Placek
sQNtu4kpd64,Rudy Karsan
tV2RLLtOgL4,Paul Fletcher
7Y2sjSG4Njg,Kiran Bir Sethi
fhCYS8avhWM,Joshua Prager
bS7A7S8AZSQ,Satya Morar
cfNaMMItHAI,Kaitlyn Ryan
LHHlPnfOtRo,Joshua Prince-Ramus
NcmxEPOQQzg,Peter Ouko
CdxVbUjaSpY,Josette Sheeran
79zra755WgA,JP Sears
PfWGiu0jGv0,Su Kahumbu
LyOgVtNtEb4,Evgeny Chereshnev
8t987Lxt1t4,Sira Abenoza
z3kdILSEbQU,Carlos Bautista
t1sYh9itUvs,Dave Trott
wCf62ksaplI,Maryam Golafshani
BHY0FxzoKZE,Wendy Suzuki
0LxPAY9yis8,Geoff Wardle
uQGYr9bnktw,Seth Godin
SMBiP3G2Pzc,Steve Silberman
fi8CYv9Dcr0,Toby Eccles
Y0GHWogx0eg,Jama Nateqi
n9ZSpccScW0,Kavita Ramdas
SB9A3J70IPQ,Eric Dyer
ooUqOwhS2LE,Charlie Todd
6WeS1bXRBOk,Judy MacDonald Johnston
BISrGwNSyH4,Linsey Pollak
8rzlrItooG4,Ariel Garten
Hul8htHa9AY,Vedat Ozan
lw3YTbubyjI,Keith Chen
2AZwSkHTkCU,Kya Kim
rZCxdbqMc2Q,David Hoffman
SgsbNR2pIts,Heidi Heissenbuttel
BXcFEhl7ynM,Noriko Arai
lVwBFWmgIDI,Christin Clyburn
cOIJGGgaSIY,Philippe Rival
fenV3W7hQtw,Michael Rubinstein
xlngY8QCEt0,Michelle Meyer
CtvIX4s1bTU,Lisa Nip
NZspSEdO2Xk,Tim Jackson
ozmowWZ1YYU,Sylvia Terbeck
DSbrTiSwyLk,Amer Nasr
hfDkDzZ9GsU,Sam Kass
ShY9QSdaReY,Wanda Diaz Merced
VT3XyORCFDA,Eric Dishman
okQXrB7ySAw,Auret van Heerden
J6tgYBMXR6s,Sebastian Thrun & Chris Anderson
7DCofMA9eQA,Nick H.
qywLsqI5YeY,Shaul Shalvi
rueQgStScw0,Jonathon Snedeker
S63Cy64p2lQ,Marcin Jakubowski
RgubFcmvgDE,Anne Flaherty
VvQSG24Zwek,Pete Alcorn
Sf8j5LFv3nI,Jonathan Marks
g2J6YOiLNr4,Carne Ross
mk3KSVrveSE,Scilla Elworthy
RkTE1LZStLk,Jean-Baptiste Michel
xnovQVRHj5c,Keely Herron
tSSNoFstCmQ,Yves Morieux
gWPFJgLAzu4,Harry Cliff
XOU2ubWkoPw,Brady Wilson
rBS1eaMitXQ,Clayton Cameron
UyUXxrSS3qs,Chris Hubert
l5vZHuAtDZA,Krista Tippett
